DiseaseName,AssociatedGenes
"Adult proximal spinal muscular atrophy, autosomal dominant",VAPB
ADULT syndrome,TP63
"Advanced sleep phase syndrome, familial, 2",CSNK1D
"Advanced sleep phase syndrome, familial, 3",PER3
"Afibrinogenemia, congenital","FGA, FGB, FGG"
"Agammaglobulinemia 2, autosomal recessive",IGLL1
"Agammaglobulinemia 3, autosomal recessive",CD79A
"Agammaglobulinemia 4, autosomal recessive",BLNK
"Agammaglobulinemia 5, autosomal dominant",LRRC8A
"Agammaglobulinemia 6, autosomal recessive",CD79B
"Agammaglobulinemia 7, autosomal recessive",PIK3R1
"Agammaglobulinemia 8, autosomal dominant",TCF3
Age-related macular degeneration,
Age-related macular degeneration 1,"APOE, CFHR1, CFHR3, HMCN1"
Age-related macular degeneration 11,CST3
Age-related macular degeneration 12,CX3CR1
Age-related macular degeneration 13,CFI
Age-related macular degeneration 14,"C2, CFB"
Age-related macular degeneration 2,ABCA4
Age-related macular degeneration 3,FBLN5
Age-related macular degeneration 4,CFH
Age-related macular degeneration 5,ERCC6
Age-related macular degeneration 6,RAX2
Age-related macular degeneration 7,HTRA1
Age-related macular degeneration 8,ARMS2
Age-related macular degeneration 9,C3
"Agenesis of corpus callosum, cardiac, ocular, and genital syndrome",CDH2
Agenesis of the corpus callosum with peripheral neuropathy,SLC12A6
Agnathia-otocephaly complex,PRRX1
AICAR transformylase/IMP cyclohydrolase deficiency,ATIC
Aicardi-Goutieres syndrome 6,ADAR
Aicardi-Goutieres syndrome 7,IFIH1
Aicardi Goutieres syndrome,
Aicardi Goutieres syndrome 1,TREX1
Aicardi Goutieres syndrome 2,RNASEH2B
Aicardi Goutieres syndrome 3,RNASEH2C
Aicardi Goutieres syndrome 4,RNASEH2A
Aicardi Goutieres syndrome 5,SAMHD1
Al-Gazali syndrome,B3GALT6
Al-Raqad syndrome,DCPS
Al Kaissi syndrome,CDK10
"Alacrima, achalasia, and mental retardation syndrome",GMPPA
Alagille syndrome 1,JAG1
Alagille syndrome 2,NOTCH2
Alazami-Yuan syndrome,TAF6
Alazami syndrome,LARP7
"Albinism, oculocutaneous, type VII",LRMDA
Alcohol dependence,"ADH1B, ADH1C, GABRA2, HTR2A"
Alexander Disease,GFAP
ALG1-CDG,ALG1
ALG12-congenital disorder of glycosylation,ALG12
ALG2-CDG,ALG2
ALG3-CDG,ALG3
ALG8-CDG,ALG8
ALG9 congenital disorder of glycosylation,ALG9
Alkaline ceramidase 3 deficiency,ACER3
Alkaptonuria,HGD
Alkuraya-Kucinskas syndrome,KIAA1109
Allan-Herndon-Dudley syndrome,SLC16A2
Allergic rhinitis,IL13
Allopurinol response,HLA-B
Alopecia,
Alopecia-intellectual disability syndrome 1,AHSG
Alopecia-intellectual disability syndrome 4,LSS
Alopecia universalis congenita,HR
"Alopecia, neurologic defects, and endocrinopathy syndrome",RBM28
Alpha-1-antitrypsin deficiency,SERPINA1
Alpha-2-plasmin inhibitor deficiency,SERPINF2
Alpha-B crystallinopathy,CRYAB
alpha-Dystroglycan related dystrophy,
Alpha-fetoprotein deficiency,AFP
"Alpha-fetoprotein, hereditary persistence of",AFP
Alpha-methylacyl-CoA racemase deficiency,AMACR
Alpha-N-acetylgalactosaminidase deficiency type 1,NAGA
Alpha-N-acetylgalactosaminidase deficiency type 2,NAGA
alpha Thalassemia,"HBA1, HBA2, HBB"
Alpha thalassemia-mental retardation syndrome,
Alpha thalassemia-X-linked intellectual disability syndrome,ATRX
"alpha, alpha-Trehalase deficiency",TREH
"Alpha/beta T-cell lymphopenia with gamma/delta T-cell expansion, severe cytomegalovirus infection, and autoimmunity",RAG1
Alport syndrome,"COL4A3, COL4A4, COL4A5"
"Alport syndrome 1, X-linked recessive",COL4A5
"Alport syndrome 3, autosomal dominant",COL4A3
"Alport syndrome, autosomal recessive","COL4A3, COL4A4"
Alstrom syndrome,ALMS1
Alternating hemiplegia of childhood 1,ATP1A2
Alternating hemiplegia of childhood 2,ATP1A3
Alveolar capillary dysplasia with pulmonary venous misalignment,FOXF1
Alveolar rhabdomyosarcoma (disease),"FOXO1, PAX3, PAX7"
Alveolar soft part sarcoma (disease),ASPSCR1
ALZAHRANI-KUWAHARA SYNDROME,SMG8
Alzheimer disease,"APP, HFE, MPO, NOS3, PLAU, "
Alzheimer disease 18,ADAM10
Alzheimer disease 2,APOE
"Alzheimer disease, type 3","APOE, PSEN1"
"Alzheimer disease, type 4","APOE, PSEN2"
"Alzheimer disease, type 9",ABCA7
"AMED syndrome, digenic",ADH5
"Amelia, autosomal recessive",TBX4
Amelocerebrohypohidrotic syndrome,ROGDI
Amelogenesis imperfecta - hypoplastic autosomal dominant - local,ENAM
Amelogenesis imperfecta type 1G,FAM20A
Amelogenesis imperfecta type 3B,AMTN
"Amelogenesis imperfecta, hypocalcification type",FAM83H
"Amelogenesis imperfecta, hypomaturation type IIA4",ODAPH
"Amelogenesis imperfecta, hypomaturation type IIA5",SLC24A4
"Amelogenesis imperfecta, hypomaturation type IIA6",GPR68
"Amelogenesis imperfecta, hypomaturation type, IIA1",KLK4
"Amelogenesis imperfecta, hypomaturation type, IIA2",MMP20
"Amelogenesis imperfecta, hypomaturation type, IIA3",WDR72
"Amelogenesis imperfecta, type 1E",AMELX
"Amelogenesis imperfecta, type 3c",RELT
"Amelogenesis imperfecta, type IA",LAMB3
"Amelogenesis imperfecta, type IC",ENAM
"Amelogenesis imperfecta, type IF",AMBN
"Amelogenesis imperfecta, type IH",ITGB6
"Amelogenesis imperfecta, type IJ",ACP4
"Amelogenesis imperfecta, type IV",DLX3
Aminoacylase 1 deficiency,ACY1
Aminoglycoside-induced deafness,"MT-TS1, TRMU"
Aminoglycoside antibacterials response,"MT-TS1, TRMU, "
Amish lethal microcephaly,SLC25A19
Amitriptyline response,"CYP2C19, CYP2D6"
Amyloidogenic transthyretin amyloidosis,TTR
"Amyloidosis, primary localized cutaneous, 2",IL31RA
"Amyloidosis, primary localized cutaneous, 3",GPNMB
Amyotrophic lateral sclerosis,"C9orf72, OPTN, UBQLN2, VCP, "
Amyotrophic lateral sclerosis-parkinsonism-dementia complex,TRPM7
"Amyotrophic lateral sclerosis 14, with or without frontotemporal dementia",VCP
"Amyotrophic lateral sclerosis 15, with or without frontotemporal dementia",UBQLN2
"Amyotrophic lateral sclerosis 16, juvenile",SIGMAR1
Amyotrophic lateral sclerosis 17,CHMP2B
Amyotrophic lateral sclerosis 18,PFN1
Amyotrophic lateral sclerosis 19,ERBB4
Amyotrophic lateral sclerosis 20,HNRNPA1
Amyotrophic lateral sclerosis 21,MATR3
Amyotrophic lateral sclerosis 22 with or without frontotemporal dementia,TUBA4A
Amyotrophic lateral sclerosis 26 with or without frontotemporal dementia,TIA1
"Amyotrophic lateral sclerosis 6, with or without frontotemporal dementia",FUS
Amyotrophic lateral sclerosis and/or frontotemporal dementia 1,C9orf72
Amyotrophic lateral sclerosis type 1,"DCTN1, NEFH, PRPH, SOD1"
Amyotrophic lateral sclerosis type 10,TARDBP
Amyotrophic lateral sclerosis type 11,FIG4
Amyotrophic lateral sclerosis type 12,OPTN
Amyotrophic lateral sclerosis type 2,ALS2
Amyotrophic lateral sclerosis type 23,ANXA11
Amyotrophic lateral sclerosis type 4,SETX
Amyotrophic lateral sclerosis type 5,SPG11
Amyotrophic lateral sclerosis type 8,VAPB
Amyotrophic lateral sclerosis type 9,ANG
"Amyotrophic lateral sclerosis, juvenile, with dementia",
"Amyotrophic lateral sclerosis, susceptibility to, 24",NEK1
"Amyotrophic lateral sclerosis, susceptibility to, 25",KIF5A
"Amyotrophy, hereditary neuralgic",SEPTIN9
Analbuminemia,ALB
Anaphylotoxin inactivator deficiency,CPN1
Anauxetic dysplasia 1,RMRP
Anauxetic dysplasia 2,POP1
Anauxetic dysplasia 3,NEPRO
Andersen Tawil syndrome,KCNJ2
Androgen resistance syndrome,AR
"Anemia without thromobocytopenia, X-linked",GATA1
"Anemia, congenital dyserythropoietic, type 1a",CDAN1
"Anemia, hypochromic microcytic, with iron overload 1",SLC11A2
"Anemia, nonspherocytic hemolytic, due to G6PD deficiency","CASK, G6PD"
"Anemia, sideroblastic, 1",ALAS2
"Anemia, sideroblastic, 2, pyridoxine-refractory",SLC25A38
"Anemia, sideroblastic, 4",HSPA9
Anencephalus,TRIM36
ANENCEPHALY 2,NUAK2
"Aneurysm, intracranial berry, 12",THSD1
Angelman syndrome,"SNRPN, UBE3A"
Angelman syndrome-like,CDKL5
"Angioedema induced by ACE inhibitors, susceptibility to",XPNPEP2
"ANGIOEDEMA, HEREDITARY, 4",PLG
"ANGIOEDEMA, HEREDITARY, 5",ANGPT1
"ANGIOEDEMA, HEREDITARY, 6",KNG1
"ANGIOEDEMA, HEREDITARY, 7",MYOF
"ANGIOEDEMA, HEREDITARY, 8",HS3ST6
Angiomatoid fibrous histiocytoma,CREB1
"Angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps",COL4A1
Anhaptoglobinemia,HP
Anhidrosis,
"Anhidrosis, isolated, with normal sweat glands",ITPR2
Aniridia 1,"PAX6, WT1"
Aniridia 2,ELP4
Aniridia 3,TRIM44
ANKRD1-related dilated cardiomyopathy,ANKRD1
Anomaly of sex chromosome,
Anonychia,RSPO4
Anophthalmia-microphthalmia syndrome,"BMP4, CRYBA4, DACH1, GATD3, HESX1, IKBKG, NHS, OTX2, PAX2, PAX6, PITX2, PITX3, PORCN, RAX, SIX3, TFAP2A, VAX1, "
Anophthalmia/microphthalmia-esophageal atresia syndrome,"SIX6, SOX2"
Anorexia nervosa 1,HTR2A
Antenatal Bartter Syndrome,
Anterior segment dysgenesis,
Anterior segment dysgenesis 1,PITX3
Anterior segment dysgenesis 3,FOXC1
Anterior segment dysgenesis 4,PITX2
Anterior segment dysgenesis 6,CYP1B1
Anterior segment dysgenesis 7,PXDN
Anterior segment dysgenesis 8,CPAMD8
Antigen in Cartwright blood group system,ACHE
Antigen in Scianna blood group system,ERMAP
Antithrombin III deficiency,SERPINC1
Antley-Bixler syndrome,
Antley-Bixler syndrome with genital anomalies and disordered steroidogenesis,POR
Antley-Bixler syndrome without genital anomalies or disordered steroidogenesis,"FGFR2, POR"
Anxiety,SLC6A4
"Aortic aneurysm, familial thoracic 10",LOX
"Aortic aneurysm, familial thoracic 11, susceptibility to",FOXE3
"Aortic aneurysm, familial thoracic 4",MYH11
"Aortic aneurysm, familial thoracic 6",ACTA2
"Aortic aneurysm, familial thoracic 7",MYLK
"Aortic aneurysm, familial thoracic 8",PRKG1
"Aortic aneurysm, familial thoracic 9",MFAP5
Aortic valve disease 1,NOTCH1
Aortic valve disease 2,SMAD6
Aortic valve disease 3,ROBO4
Aortic valve disorder,
Aplasia cutis congenita (disease),BMS1
Aplastic anemia,"IFNG, NBN, PRF1, SBDS, TERT"
"Apocrine gland secretion, variation in",ABCC11
Apolipoprotein C2 deficiency,APOC2
Apparent mineralocorticoid excess,HSD11B2
Arboleda-Tham syndrome,KAT6A
Arginase deficiency,ARG1
Arginine:glycine amidinotransferase deficiency,GATM
Argininosuccinate lyase deficiency,ASL
Ariboflavinosis,SLC52A1
Armfield X-linked mental retardation syndrome,FAM50A
Aromatase deficiency,CYP19A1
Aromatase excess syndrome,CYP19A1
Arrhinia with choanal atresia and microphthalmia syndrome,SMCHD1
Arrhythmogenic right ventricular cardiomyopathy,"DSC2, DSG2, DSP, JUP, PKP2, TMEM43, "
"Arrhythmogenic right ventricular cardiomyopathy, type 10",DSG2
"Arrhythmogenic right ventricular cardiomyopathy, type 11",DSC2
"Arrhythmogenic right ventricular cardiomyopathy, type 12",JUP
"Arrhythmogenic right ventricular cardiomyopathy, type 5",TMEM43
Arrhythmogenic right ventricular dysplasia 8,DSP
Arrhythmogenic right ventricular dysplasia 9,PKP2
"Arrhythmogenic right ventricular dysplasia, familial 1",TGFB3
"Arrhythmogenic right ventricular dysplasia, familial, 13",CTNNA3
"Arrhythmogenic right ventricular dysplasia, familial, 14",CDH2
"Arrhythmogenic right ventricular dysplasia, familial, 2",RYR2
"Arterial calcification, generalized, of infancy, 1",ENPP1
Arterial tortuosity syndrome,SLC2A10
Arteriohepatic dysplasia,
Arthrogryposis- oculomotor limitation-electroretinal anomalies syndrome,PIEZO2
"Arthrogryposis multiplex congenita 2, neurogenic type",ERGIC1
"Arthrogryposis multiplex congenita 3, myogenic type",SYNE1
"Arthrogryposis multiplex congenita 4, neurogenic, with agenesis of the corpus callosum",SCYL2
Arthrogryposis multiplex congenita 5,TOR1A
ARTHROGRYPOSIS MULTIPLEX CONGENITA 6,NEB
"Arthrogryposis multiplex congenita, neurogenic, with myelin defect",LGI4
"Arthrogryposis, cleft palate, craniosynostosis, and impaired intellectual development",PPP3CA
"Arthrogryposis, distal, type 1C",MYLPF
"Arthrogryposis, distal, type 2B2",TNNT3
"Arthrogryposis, distal, type 2B3",MYH3
"Arthrogryposis, distal, with impaired proprioception and touch",PIEZO2
"Arthrogryposis, mental retardation, and seizures",SLC35A3
"Arthrogryposis, perthes disease, and upward gaze palsy",NEK9
"Arthrogryposis, renal dysfunction, and cholestasis 1",VPS33B
"Arthrogryposis, renal dysfunction, and cholestasis 2",VIPAS39
Arts syndrome,PRPS1
Ashkenazi Jewish disorders,
Asparagine synthetase deficiency,ASNS
"Aspartate aminotransferase, serum level of, quantitative trait locus 1",GOT1
Aspartylglucosaminuria,AGA
Asperger syndrome,
Asperger syndrome X-linked 1,NLGN3
Asperger syndrome X-linked 2,NLGN4X
"Aspergillosis, susceptibility to","CLEC1A, CLEC7A"
Asphyxiating thoracic dystrophy 2,IFT80
Asphyxiating thoracic dystrophy 4,TTC21B
Asphyxiating thoracic dystrophy 5,WDR19
"Asplenia, isolated congenital",RPSA
"Asthma-related traits, susceptibility to, 1",PTGDR
"Asthma-related traits, susceptibility to, 2",NPSR1
"Asthma-related traits, susceptibility to, 5",IRAK3
"Asthma-related traits, susceptibility to, 7",CHI3L1
"Asthma, nasal polyps, and aspirin intolerance","PTGER2, TBX21"
"Asthma, susceptibility to","ADRB2, ALOX5, CCL11, HLA-G, HNMT, IL13, MUC7, PLA2G7, SCGB3A2, TNF"
Ataxia-hypogonadism-choroidal dystrophy syndrome,PNPLA6
Ataxia-oculomotor apraxia 3,PIK3R5
Ataxia-oculomotor apraxia 4,PNKP
Ataxia-oculomotor apraxia type 1,APTX
Ataxia-pancytopenia syndrome,SAMD9L
Ataxia-telangiectasia-like disorder 1,MRE11
Ataxia-telangiectasia-like disorder 2,PCNA
Ataxia-telangiectasia syndrome,ATM
"Ataxia, combined cerebellar and peripheral, with hearing loss and diabetes mellitus",DNAJC3
"ATAXIA, INTENTION TREMOR, AND HYPOTONIA SYNDROME, CHILDHOOD-ONSET",POU4F1
"Ataxia, sensory, autosomal dominant",RNF170
"Ataxia, spastic, 1, autosomal dominant",VAMP1
"Ataxia, spastic, 2, autosomal recessive",KIF1C
"Ataxia, spastic, 3, autosomal recessive",MARS2
"Ataxia, spastic, 4, autosomal recessive",MTPAP
Atazanavir response,UGT1A1
Ateleiotic dwarfism,GH1
Atelosteogenesis,
Atelosteogenesis type 1,FLNB
Atelosteogenesis type II,SLC26A2
Atelosteogenesis type III,FLNB
Atransferrinemia,TF
Atrial fibrillation,
"Atrial fibrillation, familial, 10",SCN5A
"Atrial fibrillation, familial, 11",GJA5
"Atrial fibrillation, familial, 12",ABCC9
"Atrial fibrillation, familial, 13",SCN1B
"Atrial fibrillation, familial, 14",SCN2B
"Atrial fibrillation, familial, 15",NUP155
"Atrial fibrillation, familial, 18",MYL4
"Atrial fibrillation, familial, 3",KCNQ1
"Atrial fibrillation, familial, 4",KCNE2
"Atrial fibrillation, familial, 6",NPPA
"Atrial fibrillation, familial, 7",KCNA5
"Atrial fibrillation, familial, 9",KCNJ2
Atrial septal defect,
Atrial septal defect 2,GATA4
Atrial septal defect 3,MYH6
Atrial septal defect 4,TBX20
Atrial septal defect 5,ACTC1
Atrial septal defect 6,TLL1
Atrial septal defect 7 with or without atrioventricular conduction defects,NKX2-5
Atrial septal defect 8,CITED2
Atrial septal defect 9,GATA6
Atrial standstill,
Atrial standstill 1,GJA5
Atrial standstill 2,NPPA
Atrichia with papular lesions,HR
Atrioventricular septal defect 2,CRELD1
Atrioventricular septal defect 3,GJA1
Atrioventricular septal defect 4,GATA4
Atrioventricular septal defect 5,GATA6
Atrophia bulborum hereditaria,NDP
Attention deficit-hyperactivity disorder 7,TPH2
Attention deficit hyperactivity disorder,"DRD4, DRD5"
Atypical hemolytic-uremic syndrome 1,"CFH, CFHR1, CFHR3"
Atypical hemolytic-uremic syndrome 2,CD46
Atypical hemolytic-uremic syndrome 3,CFI
Atypical hemolytic-uremic syndrome 4,CFB
Atypical hemolytic-uremic syndrome 5,C3
Atypical hemolytic-uremic syndrome 6,THBD
Atypical hemolytic uremic syndrome,"CFHR4, "
"Atypical mycobacteriosis, familial, X-linked 2",CYBB
AU-KLINE SYNDROME,HNRNPK
Auditory neuropathy-optic atrophy syndrome,FDXR
"Auditory neuropathy, autosomal dominant, 1",DIAPH3
"Aural atresia, congenital",TSHZ1
Auriculocondylar syndrome,
Auriculocondylar syndrome 1,GNAI3
Auriculocondylar syndrome 2,PLCB4
Auriculocondylar syndrome 3,EDN1
Autism 15,CNTNAP2
Autism 16,SLC9A9
Autism 17,SHANK2
Autism 5,TBR1
Autism spectrum disorder,"PTCHD1, RPL10, SHANK2, "
"Autism, susceptibility to, 18",CHD8
"Autism, susceptibility to, 19",EIF4E
"Autism, susceptibility to, 20",NLGN1
"Autism, susceptibility to, X-linked 1",NLGN3
"Autism, susceptibility to, X-linked 2",NLGN4X
"Autism, susceptibility to, X-linked 3",MECP2
"Autism, susceptibility to, X-linked 4",PTCHD1
"Autism, susceptibility to, X-linked 5",RPL10
"Autism, susceptibility to, X-linked 6",TMLHE
Autistic disorder of childhood onset,SNRPN
Autoimmune disease 1,FOXD3
Autoimmune disease 6,SIAE
"Autoimmune disease, multisystem, infantile-onset, 1",STAT3
"Autoimmune disease, multisystem, infantile-onset, 2",ZAP70
"Autoimmune disease, syndromic multisystem",ITCH
"Autoimmune interstitial lung, joint, and kidney disease",COPA
Autoimmune lymphoproliferative syndrome,"FAS, FASLG, "
Autoimmune lymphoproliferative syndrome type 2B,CASP8
Autoimmune lymphoproliferative syndrome type V,CTLA4
"Autoimmune lymphoproliferative syndrome, type 1b",FASLG
"Autoimmune lymphoproliferative syndrome, type 2A",CASP10
"Autoimmune lymphoproliferative syndrome, type III",PRKCD
Autoimmune thrombocytopenia,
Autoimmune thyroid disease 3,"TG, ZFAT"
Autoinflammation with arthritis and dyskeratosis,NLRP1
Autoinflammation with episodic fever and lymphadenopathy,RIPK1
Autoinflammation with infantile enterocolitis,NLRC4
"Autoinflammation, antibody deficiency, and immune dysregulation, plcg2-associated",PLCG2
"Autoinflammation, immune dysregulation, and eosinophilia",JAK1
"Autoinflammation, panniculitis, and dermatosis syndrome",OTULIN
"Autoinflammatory syndrome, familial, Behcet-like",TNFAIP3
"AUTOINFLAMMATORY SYNDROME, FAMILIAL, WITH OR WITHOUT IMMUNODEFICIENCY",SOCS1
Autosomal chromosomal disorder,
Autosomal dominant cerebellar ataxia type II,
Autosomal dominant distal renal tubular acidosis,SLC4A1
Autosomal dominant Emery-Dreifuss muscular dystrophy,
Autosomal dominant hypophosphatemic rickets,FGF23
Autosomal dominant intellectual developmental disorder 64,ZNF292
Autosomal dominant isolated somatotropin deficiency,GH1
Autosomal dominant lamellar ichthyosis,ASPRV1
Autosomal dominant macrothrombocytopenia TUBB1-related,TUBB1
Autosomal dominant nocturnal frontal lobe epilepsy,
Autosomal dominant non-syndromic sensorineural deafness type DFNA,
Autosomal dominant nonsyndromic deafness 17,MYH9
Autosomal dominant nonsyndromic deafness 22,MYO6
Autosomal dominant nonsyndromic deafness 2A,KCNQ4
Autosomal dominant nonsyndromic deafness 6,"WFS1, "
Autosomal dominant omodysplasia,FZD2
Autosomal dominant optic atrophy classic form,OPA1
Autosomal dominant optic atrophy plus syndrome,
Autosomal dominant osteopetrosis 1,LRP5
Autosomal dominant osteopetrosis 2,CLCN7
autosomal dominant palmoplantar keratoderma and congenital alopecia,GJA1
Autosomal dominant polycystic kidney disease,
Autosomal dominant popliteal pterygium syndrome,IRF6
Autosomal dominant progressive external ophthalmoplegia,
Autosomal dominant progressive external ophthalmoplegia with mitochondrial DNA deletions 1,POLG
Autosomal dominant progressive external ophthalmoplegia with mitochondrial DNA deletions 2,SLC25A4
Autosomal dominant progressive external ophthalmoplegia with mitochondrial DNA deletions 3,TWNK
Autosomal dominant progressive external ophthalmoplegia with mitochondrial DNA deletions 4,POLG2
Autosomal dominant progressive external ophthalmoplegia with mitochondrial DNA deletions 5,RRM2B
Autosomal dominant pseudohypoaldosteronism type 1,NR3C2
Autosomal dominant striatal neurodegeneration,
Autosomal dominant torsion dystonia 4,TUBB4A
Autosomal hypohidrotic ectodermal dysplasia,
Autosomal recessive agammaglobulinemia 1,IGHM
Autosomal recessive axonal neuropathy with neuromyotonia,HINT1
Autosomal recessive cerebellar ataxia-saccadic intrusion syndrome,VPS13D
Autosomal recessive chorioretinopathy-microcephaly syndrome,
Autosomal recessive chronic granulomatous disease 5,CYBC1
Autosomal recessive congenital ichthyosis 1,TGM1
Autosomal recessive congenital ichthyosis 10,PNPLA1
Autosomal recessive congenital ichthyosis 2,"ALOX12B, ALOXE3"
Autosomal recessive congenital ichthyosis 3,ALOXE3
Autosomal recessive congenital ichthyosis 4A,ABCA12
Autosomal recessive congenital ichthyosis 4B,ABCA12
Autosomal recessive congenital ichthyosis 5,CYP4F22
Autosomal recessive congenital ichthyosis 6,NIPAL4
Autosomal recessive congenital ichthyosis 8,LIPN
Autosomal recessive congenital ichthyosis 9,CERS3
Autosomal recessive cutis laxa type 1B,EFEMP2
Autosomal recessive cutis laxa type 2B,PYCR1
Autosomal recessive cutis laxa type 2C,ATP6V1E1
Autosomal recessive cutis laxa type 2D,ATP6V1A
Autosomal recessive cutis laxa type 3B,PYCR1
Autosomal recessive cutis laxa type IA,FBLN5
Autosomal recessive DOPA responsive dystonia,TH
Autosomal recessive hypohidrotic ectodermal dysplasia syndrome,
Autosomal recessive hypophosphatemic bone disease,SLC34A3
